subject,predicate,object
asthma,occurs_with,food_allergy
occupational asthma,is_caused_by,sensitizing agents
asthma,is_prevented_by,irritant avoidance
nhlbi’s learn more breathe better asthma program,associated_with,asthma
asthma,leads_to_complication,thickened airway walls
strong_soaps,causes,asthma_symptoms
asthma,has_risk_factor,tip sheets
asthma,is_caused_by,asthma_trigger
asthma,has_risk_factor,hyperventilation
asthma,has_risk_factor,allergic_condition
asthma,is_prevented_by,coping with stress and anxiety
asthma,associated_with,centers for disease control and prevention
asthma,occurs_with,viral infections
asthma,has_risk_factor,narrowed airways
asthma,has_risk_factor,irritants
asthma,associated_with,chronic condition
asthma,is_diagnosed_by,childhood development assessment
allergic_conditions,is_a_risk_factor_for,asthma
asthma,has_risk_factor,secondhand_smoke_exposure
bronchial thermoplasty,has_risk_factor,worsening asthma
urban_living,is_a_risk_factor_for,asthma
asthma,has_risk_factor,avoiding triggers
asthma,has_symptom,harder breathing out
asthma,is_diagnosed_by,challenge tests
asthma,is_prevented_by,healthy lifestyle
asthma,is_prevented_by,opening windows during cleaning
asthma,associated_with,environmental factors
asthma,has_risk_factor,asthma symptoms
asthma,occurs_with,exercise_induced_bronchospasm
asthma,has_risk_factor,respiratory_infection
asthma action plan,includes,emergency contact information
impaired_concentration,is_a_complication_of,asthma
sinusitis,causes,asthma_attack
asthma,is_diagnosed_by,pulmonary_function_test
allergic asthma,is_treated_by,inhaled corticosteroids
infection_prevention,treats,asthma
asthma,associated_with,physical_activity
asthma,is_prevented_by,pet_grooming
pest_management,treats,asthma
respiratory_syncytial_virus,causes,asthma_attack
asthma,has_risk_factor,frequent use of short-acting beta2-agonist medicine
asthma,has_risk_factor,age
asthma,occurs_with,fragrance_sensitivity
asthma,has_symptom,nighttime symptoms
asthma,is_diagnosed_by,fractional exhaled nitric oxide tests
asthma,is_prevented_by,monitoring
asthma attack,has_symptom,swelling of airways
asthma,is_prevented_by,trigger_avoidance
asthma,associated_with,lung function
bronchial thermoplasty,has_risk_factor,airway or lung infections
asthma,leads_to_complication,sleep_disturbance
asthma,has_risk_factor,allergic_conditions
asthma,occurs_with,gastroesophageal_reflux_disease
asthma,is_prevented_by,using inhaler correctly
asthma,is_treated_by,peak flow meter monitoring
asthma,associated_with,seasonal_variability
asthma,is_caused_by,thunderstorm_activity
asthma triggers,includes,certain medications
treatment,includes,using medicines
asthma,leads_to_complication,low birth weight
asthma,has_risk_factor,close contact with sick individuals
asthma,has_risk_factor,cold dry air
asthma,has_risk_factor,fact sheet asthma facts for patients and families
asthma,is_diagnosed_by,medical_history_assessment
asthma,leads_to_complication,airway hyperresponsiveness
asthma,has_symptom,asthma symptoms
asthma,is_treated_by,long-term control medicines
asthma,is_caused_by,cold_dry_air
mould_exposure,is_a_risk_factor_for,asthma
asthma,has_risk_factor,tobacco_smoke_exposure
asthma_medications,treats,asthma
asthma,associated_with,allergic_response
airway inflammation,causes,narrowed airways
asthma,has_risk_factor,dust_mite_infestation
asthma,is_treated_by,smoking cessation
allergic asthma,is_treated_by,biologic medicines
asthma,is_caused_by,animal dander
asthma,has_risk_factor,climate change effects
weather_changes,causes,asthma_symptoms
asthma,is_prevented_by,avoiding air pollution
asthma,is_diagnosed_by,allergen_testing
asthma,associated_with,asthma action plan
asthma,has_risk_factor,outdoor_air_pollution
reliever_therapy,treats,asthma
asthma,has_risk_factor,changing treatment plan without consultation
asthma,leads_to_complication,increased mucus production
asthma,occurs_with,narrowed airways
asthma,has_risk_factor,pediatric_age
asthma action plan,includes,monitoring
asthma,leads_to_complication,airway inflammation
asthma,associated_with,domestic_environment
air_purifier,treats,asthma
asthma,is_caused_by,exercise
bacterial_infection,causes,asthma_attack
comorbid_conditions,causes,asthma_symptoms
asthma,has_risk_factor,overweight
asthma action plan,includes,medication schedule
asthma,occurs_with,viral_infection
emergency_healthcare,is_a_complication_of,asthma
asthma,has_risk_factor,family_history_of_allergies
asthma,is_treated_by,inhaler
severe asthma attack,leads_to_complication,need for oxygen therapy
asthma,is_prevented_by,climate_control
viral infections,causes,asthma symptoms
environmental_allergens,is_a_risk_factor_for,asthma
asthma,has_risk_factor,night time
asthma,occurs_with,sinusitis
leukotriene modifiers,prevents,airway swelling
asthma,is_prevented_by,avoiding allergens
asthma,is_treated_by,heart-healthy diet
asthma,is_prevented_by,mold_abatement
asthma,is_treated_by,allergy_medication
seasonal allergic asthma,is_treated_by,daily controller medicine
asthma,has_risk_factor,fragrances
asthma,has_risk_factor,asthma guides
asthma,associated_with,electronic_cigarettes
asthma,has_risk_factor,asthma program
asthma,has_risk_factor,house_dust_mites
asthma,occurs_with,chemical_exposure
asthma,has_risk_factor,viral infections
asthma,is_caused_by,unknown etiology
occupational asthma,is_caused_by,workplace allergens
airways in lungs,associated_with,asthma
asthma,is_treated_by,regular physical activity
