subject,predicate,object
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,cardiovascular_disease
chronic-obstructive-pulmonary-disease-copd,is_caused_by,airway_or_lung_damage
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,permanent_disability
chronic-obstructive-pulmonary-disease-copd,is_treated_by,tdap_vaccine
chronic-obstructive-pulmonary-disease-copd,associated_with,stress
respiratory_infection_treatment_with_antibiotics,treats,chronic-obstructive-pulmonary-disease-copd
bullectomy,treats,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,is_treated_by,lifestyle_modification
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,mortality
chronic-obstructive-pulmonary-disease-copd,associated_with,mental health support
vaccinations,treats,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,occurs_with,pleural_effusion
chronic-obstructive-pulmonary-disease-copd,is_treated_by,respiratory_infection_management
chronic-obstructive-pulmonary-disease-copd,associated_with,regular dental check-ups
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,smoking cessation
emphysema,occurs_with,chronic-obstructive-pulmonary-disease-copd
pulmonary_rehabilitation,treats,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,has_symptom,trouble_taking_deep-breaths
people_of_multiple_races,associated_with,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,is_treated_by,bronchodilator inhalers
chronic-obstructive-pulmonary-disease-copd,occurs_with,emphysema
chronic-obstructive-pulmonary-disease-copd,associated_with,not getting enough physical activity
flare-ups,causes,whooping_cough
current_or_former_smokers,associated_with,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,occurs_with,heart_failure
chronic-obstructive-pulmonary-disease-copd,associated_with,cold temperatures
chronic-obstructive-pulmonary-disease-copd,is_treated_by,medicines
chronic-obstructive-pulmonary-disease-copd,associated_with,mental_health_issues
chronic-obstructive-pulmonary-disease-copd,associated_with,respiratory syncytial virus
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,quitting_smoking
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,prematurity
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,non-smoking
chronic-obstructive-pulmonary-disease-copd,associated_with,air pollution
chronic-obstructive-pulmonary-disease-copd,associated_with,cardiovascular events
flare-ups,causes,pneumonia
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,air_pollution
chronic-obstructive-pulmonary-disease-copd,is_treated_by,heart_tests
chronic-obstructive-pulmonary-disease-copd,associated_with,family support
occupational exposure to dusts,causes,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,is_treated_by,professional_counselor
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,medication adherence
chronic-obstructive-pulmonary-disease-copd,is_treated_by,pulmonary_rehabilitation
chronic-obstructive-pulmonary-disease-copd,is_prevented_by,patient support groups
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,obesity
chronic-obstructive-pulmonary-disease-copd,has_symptom,difficulty breathing
chronic-obstructive-pulmonary-disease-copd,associated_with,anxiety
tobacco exposure,causes,chronic-obstructive-pulmonary-disease-copd
one-way_endobronchial_valves,treats,chronic-obstructive-pulmonary-disease-copd
chronic-obstructive-pulmonary-disease-copd,has_risk_factor,poor growth in utero
chronic-obstructive-pulmonary-disease-copd,is_caused_by,air pollution
chronic-obstructive-pulmonary-disease-copd,associated_with,heart health
chronic-obstructive-pulmonary-disease-copd,leads_to_complication,anxiety
chronic-obstructive-pulmonary-disease-copd,is_caused_by,tobacco_smoke_exposure
