subject,predicate,object
treatment,treats,coronavirus-disease-(covid-19)
coronavirus-disease-(covid-19),has_symptom,ageusia
covid-19 vaccines,prevents,hospital admission
coronavirus-disease-(covid-19),has_symptom,chills
coronavirus-disease-(covid-19),has_risk_factor,neoplasm
coronavirus-disease-(covid-19),is_treated_by,treatment
diabetes mellitus,increases_risk,severe covid-19
coronavirus-disease-(covid-19),leads_to_complication,emergency warning signs
coronavirus-disease-(covid-19),has_risk_factor,exposure to sars-cov-2
paxlovid,has_side_effect,drug interactions
new variants,associated_with,different spreading ways
sars-cov-2,is_a,respiratory virus
lagevrio,is_a,antiviral medications
chronic respiratory disease,increases_risk,severe covid-19
coronavirus-disease-(covid-19),has_symptom,myalgia
coronavirus-disease-(covid-19),has_risk_factor,vaccine hesitancy
protective actions,treats,coronavirus-disease-(covid-19)
coronavirus-disease-(covid-19),is_prevented_by,mask wearing
coronavirus-disease-(covid-19),is_caused_by,virus
coronavirus-disease-(covid-19),is_diagnosed_by,antigen tests
coronavirus-disease-(covid-19),has_risk_factor,immunocompromised state
autoimmune disease,increases_risk,severe covid-19
coronavirus-disease-(covid-19),has_symptom,muscle or body aches
severe illness,leads_to,death
coronavirus-disease-(covid-19),has_symptom,nausea
coronavirus-disease-(covid-19),leads_to_complication,new variants
coronavirus-disease-(covid-19),is_prevented_by,protective actions
diagnostic testing,informs,treatment decisions
personalized treatment,depends_on,disease severity
immunosuppressive therapy,increases_risk,severe covid-19
coronavirus-disease-(covid-19),leads_to_complication,trouble breathing
coronavirus-disease-(covid-19),has_risk_factor,unvaccinated individuals
coronavirus-disease-(covid-19),has_symptom,sleep disturbance
coronavirus-disease-(covid-19),has_risk_factor,medical complexity
coronavirus-disease-(covid-19),is_treated_by,timely treatment initiation
coronavirus-disease-(covid-19),is_spread_by,contaminated surfaces
coronavirus-disease-(covid-19),has_risk_factor,diabetes
coronavirus-disease-(covid-19),has_risk_factor,immunosuppression
coronavirus-disease-(covid-19),transmits_between,close contacts
covid-19 vaccines,prevents,severe acute respiratory syndrome
coronavirus-disease-(covid-19),leads_to_complication,post-covid conditions
coronavirus-disease-(covid-19),has_symptom,fatigue
