subject,predicate,object
pneumonia,is_prevented_by,hygienic_practices
pneumonia,leads_to_complication,bronchopneumonia
pneumonia,is_diagnosed_by,blood culture testing
symptomatic relief medication,treats,febrile symptoms
pneumonia,has_risk_factor,treatment non-adherence
pneumonia,has_symptom,altered mental status
oral antibiotics,treats,pneumonia
pneumonia,is_treated_by,antibiotic_therapy
physical activity,is_prevented_by,immune system strengthening
pneumonia,occurs_with,viral infection
community health worker intervention,supports,treatment of pneumonia
pneumonia,is_prevented_by,smoking_cessation
haemophilus influenzae type b vaccine,is_prevented_by,vaccination administration
pertussis vaccine,is_type_of,vaccine
pneumonia,is_treated_by,supportive_care
haemophilus influenzae type b vaccine,causes,meningitis prevention
pneumonia,associated_with,antimicrobial resistance
pneumonia,is_treated_by,intravenous hydration
hand hygiene,is_prevented_by,pathogen eradication
pneumococcal vaccine,prevents,pneumonia
pneumonia,is_prevented_by,smoking cessation
pneumonia,is_prevented_by,hand washing
pneumonia,has_symptom,chest_pain_during_breathing_or_coughing
intravenous hydration,treats,fluid deficit
pneumonia,has_symptom,rigors
pneumonia,is_treated_by,thoracocentesis
pneumonia,is_prevented_by,chronic_disease_management
pneumonia,has_risk_factor,age_65_years_or_older
pneumonia,is_caused_by,chlamydia_pneumoniae_infection
pneumonia,is_diagnosed_by,medical history evaluation
pneumonia,is_prevented_by,exclusive breastfeeding
pneumonia,has_risk_factor,age_younger_than_5_years
pneumonia,is_treated_by,antifungal_medications
pneumonia,has_risk_factor,sickle cell disease
pneumonia,is_caused_by,sars_cov_2_infection
pneumonia,is_caused_by,human_parainfluenza_virus_infection
pneumonia,leads_to_complication,exacerbated cardiovascular disease
pneumonia,has_risk_factor,bronchiectasis
pneumonia,leads_to_complication,mortality
viral_pathogens,includes,adenovirus
pneumonia,associated_with,lung histopathological analysis
pneumonia,occurs_with,atypical pneumonia
other_medical_conditions,has_risk_factor,critical_illness
pneumonia,has_risk_factor,heart failure
pneumonia,has_symptom,hypoxemia
pneumonia,has_symptom,lethargy
pneumonia,is_diagnosed_by,bronchoscopic examination
babies_with_pneumonia,has_symptom,alar_flaring
haemophilus influenzae type b vaccine,prevents,pneumonia
viral_pathogens,includes,influenza_virus
pneumonia,is_diagnosed_by,blood testing
pneumonia,is_prevented_by,avoidance of secondhand smoke
symptomatic relief medication,treats,myalgia
pneumonia,occurs_with,walking pneumonia
pneumonia,is_prevented_by,vaccination
pneumonia,leads_to_complication,pulmonary necrosis
pneumonia,has_risk_factor,diabetes
other_medical_conditions,has_risk_factor,immunosuppression
pneumonia,associated_with,hospitalization
pneumonia,has_risk_factor,environmental_exposure
pneumonia,is_prevented_by,regular exercise
pneumonia,has_risk_factor,substance abuse
pneumonia,has_symptom,altered_mental_status
age,has_risk_factor,pediatric_age_group
pneumonia,is_diagnosed_by,chest_radiograph
community health worker intervention,supports,diagnosis of pneumonia
healthy diet,is_prevented_by,immune system strengthening
pneumonia,leads_to_complication,depressive disorder
environment,has_risk_factor,overcrowding
pneumonia,has_risk_factor,tobacco smoking
pneumonia,is_prevented_by,measles immunization
vaccines,include,pertussis vaccine
older_adults_with_pneumonia,has_symptom,lethargy
pneumonia,has_symptom,pulmonary_infiltrates
pneumonia,leads_to_complication,exacerbated vascular disease
pneumonia,is_caused_by,bacteria
viruses,is_caused_by,influenza_a_virus
pneumonia,is_diagnosed_by,laboratory_testing
fungal pneumonia,is_caused_by,fungal pathogens
pneumonia,is_caused_by,viruses
pneumonia,is_prevented_by,respiratory etiquette
pneumonia,leads_to_complication,septicemia
pneumonia,occurs_with,microbial infection
pneumonia,occurs_with,alveolar consolidation
pneumonia,is_treated_by,oxygen supplementation
surgical intervention,is_prevented_by,preoperative fasting protocol
pneumonia,is_prevented_by,haemophilus influenzae type b immunization
pneumonia,has_risk_factor,asthma
pneumonia,is_diagnosed_by,medical_history_review
pneumonia,has_risk_factor,immunocompromised_state
pneumonia,has_risk_factor,exposure_to_sick_individuals
pneumonia,is_diagnosed_by,chest computed tomography (ct) scanning
pneumonia,is_caused_by,haemophilus_influenzae_infection
antiviral therapy,treats,viral pneumonia
pneumonia,is_caused_by,rhinovirus_infection
vaccines,include,measles vaccine
pneumonia,is_caused_by,viral_pathogens
pneumonia,has_symptom,headache
haemophilus influenzae type b vaccine,associated_with,pediatric population under 5
pneumonia,associated_with,patient_age
pneumonia,is_treated_by,mechanical ventilation
pneumonia,is_caused_by,varicella_zoster_virus_infection
pneumonia,is_treated_by,fluid resuscitation
pneumonia,is_diagnosed_by,diagnostic testing
reducing indoor air pollution,prevents,pneumonia
pneumonia,associated_with,causative_pathogen
viral_pathogens,includes,sars_cov_2
pneumonia,has_risk_factor,pediatric_population
pneumonia,is_treated_by,pulmonary rehabilitation
pneumonia,is_diagnosed_by,physical_examination
pneumonia,leads_to_complication,acute respiratory distress syndrome
pneumonia,is_prevented_by,influenza_vaccination
pneumonia,is_treated_by,surgical intervention
bacterial_pathogens,includes,bordetella_pertussis
