subject,predicate,object
active tb disease,has_symptom,no appetite
fan in window,is_prevented_by,spreading tb germs
contact investigation,requires,assessing contacts
tb contacts,needs,tb testing
tuberculosis,is_caused_by,bacteria
exposure in correctional facilities,causes,increased risk of tb germs exposure
tuberculosis,has_form,latent tb infection
tb germs,spread_to,kidney
tb skin test,is_diagnosed_by,health care provider
health care worker,educates,contacts on tuberculosis exposure
health care provider,performs,tuberculosis skin test
tuberculosis,is_prevented_by,treatment for inactive tb
active tb disease,has_risk_factor,not treated properly
latent tb infection,is_caused_by,breathing in tb germs
contact investigation,associated_with,tuberculosis prevention
tuberculosis,associated_with,bcg vaccine
tb germs,can_be_fatal,without treatment
tuberculosis,is_treated_by,finishing all prescribed medicine
tuberculosis,has_risk_factor,severe kidney disease
tb prevention,requires,timely treatment
tuberculosis,occurs_with,exposure in hospitals
health care worker,educates,contacts on tb exposure
tuberculosis,is_treated_by,tb medicine
weakened immune system,causes,tuberculosis
taking medicines exactly as directed,is_prevented_by,spreading tb germs
inactive tb,has_risk_factor,diabetes
tuberculosis,has_risk_factor,weakened immune systems
contact investigation,requires,identifying contacts
tb disease of the kidney,has_symptom,blood in the urine
tuberculosis,spreads_through,coughing
tuberculosis,has_symptom,weight loss
tuberculosis,is_prevented_by,tb test
tuberculosis contacts,needs,tub
active tb disease,has_symptom,bad cough that lasts 3 weeks or longer
community safety,associated_with,tb prevention
tb disease of the lymph nodes,has_symptom,firm red or purple swelling under the skin
tb contacts,has_risk_factor,exposure to tuberculosis
contact investigation,requires,managing contacts
tb vaccine,affects,tb skin test
active tb disease,is_treated_by,medicine
tuberculosis,has_risk_factor,weakened immune system
tuberculosis,spreads_through,air
tb medicines,treats,active tb disease
active tb disease,has_symptom,fever
active tb disease,leads_to_complication,fatal outcome
tb infection,occurs_with,living in large group settings
diabetes,causes,tuberculosis
inactive tb,has_symptom,no symptoms
active tb disease,leads_to_complication,spread of tb germs
tuberculosis,is_diagnosed_by,sputum test
weakened immune systems,causes,increased risk of active tb disease
tb treatment,prevents,spread of tb germs
tuberculosis,has_risk_factor,babies and young children
isoniazid,treats,tuberculosis
tuberculosis,has_risk_factor,exposure to active tuberculosis disease
face mask,is_prevented_by,exposure to tb germs
tb exposure,has_risk_factor,poor air circulation
tuberculosis,has_risk_factor,previous incorrect tb treatment
separate bedroom,is_prevented_by,spreading tb germs
community safety,associated_with,health care provider efforts
tuberculosis,has_symptom,chills
health care provider,educates,on tb prevention
